tau,alpha,text_mode,text_floor,node_f1_micro,node_precision_micro,node_recall_micro,edge_f1_micro,edge_precision_micro,edge_recall_micro,combined_f1,num_frames
0.3,0.5,semantic,0.25,0.6737357259380099,0.6871880199667221,0.6608,0.2821969696969697,0.2938856015779093,0.27140255009107467,0.4779663478174898,100
0.3,0.7,semantic,0.25,0.6737357259380099,0.6871880199667221,0.6608,0.2821969696969697,0.2938856015779093,0.27140255009107467,0.4779663478174898,100
0.3,0.85,semantic,0.25,0.6737357259380099,0.6871880199667221,0.6608,0.28030303030303033,0.29191321499013806,0.26958105646630237,0.4770193781205201,100
0.5,0.5,semantic,0.25,0.48939641109298526,0.49916805324459235,0.48,0.1893939393939394,0.19723865877712032,0.18214936247723132,0.3393951752434623,100
0.5,0.7,semantic,0.25,0.48939641109298526,0.49916805324459235,0.48,0.1893939393939394,0.19723865877712032,0.18214936247723132,0.3393951752434623,100
0.5,0.85,semantic,0.25,0.48939641109298526,0.49916805324459235,0.48,0.18750000000000003,0.1952662721893491,0.18032786885245902,0.33844820554649263,100
0.7,0.5,semantic,0.25,0.24143556280587278,0.24625623960066556,0.2368,0.03787878787878787,0.03944773175542406,0.03642987249544627,0.13965717534233033,100
0.7,0.7,semantic,0.25,0.24143556280587278,0.24625623960066556,0.2368,0.03787878787878787,0.03944773175542406,0.03642987249544627,0.13965717534233033,100
0.7,0.85,semantic,0.25,0.24143556280587278,0.24625623960066556,0.2368,0.03598484848484849,0.03747534516765286,0.03460837887067395,0.13871020564536063,100
