video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,gen_wall_time_s
0JVmVXLrNZo,23,1,1,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0,2,4,0.0,0.0,0.0,0.37931033968925476,0.37931033968925476,0.0,0.37931033968925476,0.37931033968925476,1,0.0,0.0,13.326656
0JVmVXLrNZo,62,1,1,3,0,1,1.0,0.75,0.8571428571428571,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.6263736486434937,0.5714285969734192,0.28529131412506104,0.3076923191547394,1.0,3,0.6666666666666666,0.3333333333333333,12.925623
0JVmVXLrNZo,64,1,1,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,5,0.0,0.0,0.0,0.41044142842292786,0.41044142842292786,0.08955857157707214,0.3208828568458557,0.5,2,0.5,0.0,13.61497
0JVmVXLrNZo,150,1,1,2,2,0,0.5,1.0,0.6666666666666666,1,2,0,0.3333333333333333,1.0,0.5,0.5068181753158569,0.5068181753158569,0.14318180084228516,0.3636363744735718,0.6499999761581421,2,0.5,0.0,15.513149
1mB0G1AwUPg,99,1,1,6,5,2,0.5454545454545454,0.75,0.631578947368421,0,10,5,0.0,0.0,0.0,0.6226853728294373,0.6333333253860474,0.10227420926094055,0.5,0.7852349281311035,6,1.0,0.16666666666666666,44.396454
1mB0G1AwUPg,279,1,1,6,2,4,0.75,0.6,0.6666666666666665,2,7,6,0.2222222222222222,0.25,0.23529411764705882,0.6341578364372253,0.6100131869316101,0.16677512228488922,0.4444444477558136,0.8571428656578064,6,0.6666666666666666,0.3333333333333333,33.483767
1mB0G1AwUPg,290,0,0,0,0,10,0.0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,274.204285
1mB0G1AwUPg,304,1,1,7,1,5,0.875,0.5833333333333334,0.7000000000000001,0,9,8,0.0,0.0,0.0,0.6658104658126831,0.7666666507720947,0.17604747414588928,0.41296061873435974,0.8958333134651184,7,0.7142857142857143,0.5714285714285714,34.134749
3rtzSsuJ4Ng,5,1,1,5,4,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,6,6,0.0,0.0,0.0,0.4615405201911926,0.45400238037109375,0.07302796095609665,0.3479532301425934,0.5593056678771973,5,0.4,0.0,33.8513
3rtzSsuJ4Ng,19,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.791688
3rtzSsuJ4Ng,143,1,1,6,3,5,0.6666666666666666,0.5454545454545454,0.6,2,6,7,0.25,0.2222222222222222,0.23529411764705882,0.4618370532989502,0.45394736528396606,0.0813593715429306,0.3451327383518219,0.6000000238418579,6,0.3333333333333333,0.0,36.008088
3rtzSsuJ4Ng,163,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.79775
4eWzsx1vAi8,64,0,0,0,0,7,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,274.160837
4eWzsx1vAi8,66,1,1,3,4,4,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.4196736812591553,0.4153846204280853,0.047601956874132156,0.3636363744735718,0.47999998927116394,3,0.0,0.0,27.88513
4eWzsx1vAi8,94,1,1,4,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,0.6823041439056396,0.6682072877883911,0.2212400734424591,0.39280185103416443,1.0,4,0.75,0.25,16.708237
4eWzsx1vAi8,196,1,1,4,4,5,0.5,0.4444444444444444,0.47058823529411764,3,4,5,0.42857142857142855,0.375,0.39999999999999997,0.4048360586166382,0.3931567370891571,0.07233726978302002,0.31578946113586426,0.517241358757019,4,0.25,0.0,33.150656
8fVUcbC8MgM,24,0,0,0,0,12,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,238.520137
8fVUcbC8MgM,73,1,1,5,4,2,0.5555555555555556,0.7142857142857143,0.6250000000000001,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5962499976158142,0.65625,0.13872185349464417,0.375,0.75,5,0.8,0.2,35.284327
8fVUcbC8MgM,231,1,1,7,7,3,0.5,0.7,0.5833333333333334,0,13,9,0.0,0.0,0.0,0.4328872263431549,0.3529411852359772,0.1288420706987381,0.3333333432674408,0.6666666865348816,7,0.2857142857142857,0.0,55.232741
8fVUcbC8MgM,286,1,1,5,2,3,0.7142857142857143,0.625,0.6666666666666666,1,5,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6183213591575623,0.6666666865348816,0.15113840997219086,0.3333333432674408,0.782608687877655,5,0.8,0.2,27.911346
Aa4rc5Exz24,50,1,1,5,0,2,1.0,0.7142857142857143,0.8333333333333333,3,1,3,0.75,0.5,0.6,0.6720488667488098,0.625,0.18587082624435425,0.4265232980251312,1.0,5,0.8,0.2,20.111776
Aa4rc5Exz24,91,1,1,4,2,3,0.6666666666666666,0.5714285714285714,0.6153846153846153,2,3,4,0.4,0.3333333333333333,0.3636363636363636,0.6523521542549133,0.6172043085098267,0.22646580636501312,0.375,1.0,4,0.75,0.25,23.846444
Aa4rc5Exz24,99,1,1,4,2,1,0.6666666666666666,0.8,0.7272727272727272,1,4,3,0.2,0.25,0.22222222222222224,0.6533781290054321,0.6917562484741211,0.10440367460250854,0.47999998927116394,0.75,4,0.75,0.25,23.759169
Aa4rc5Exz24,139,1,1,5,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,1,3,0.75,0.5,0.6,0.7039562463760376,0.7129629850387573,0.20344752073287964,0.38181817531585693,1.0,5,0.8,0.4,23.060946
BByjyvBp6gI,88,1,1,3,2,3,0.6,0.5,0.5454545454545454,0,5,4,0.0,0.0,0.0,0.588219940662384,0.5714285969734192,0.0798572525382042,0.4998979866504669,0.6933333277702332,3,0.6666666666666666,0.0,21.39421
BByjyvBp6gI,89,1,1,3,4,2,0.42857142857142855,0.6,0.5,2,3,2,0.4,0.5,0.4444444444444445,0.6983947157859802,0.7407407164573669,0.11167649179697037,0.5454545617103577,0.8089887499809265,3,1.0,0.3333333333333333,27.387872
BByjyvBp6gI,244,1,1,7,3,1,0.7,0.875,0.7777777777777777,1,7,8,0.125,0.1111111111111111,0.11764705882352941,0.4688521921634674,0.46875,0.13298945128917694,0.30000001192092896,0.7272727489471436,7,0.2857142857142857,0.0,39.388942
BByjyvBp6gI,265,1,1,6,4,4,0.6,0.6,0.6,0,9,9,0.0,0.0,0.0,0.40989455580711365,0.3961039185523987,0.07323630899190903,0.3035230338573456,0.5,6,0.3333333333333333,0.0,40.365373
Gf4eEhDpxgk,7,1,1,7,3,4,0.7,0.6363636363636364,0.6666666666666666,3,5,7,0.375,0.3,0.33333333333333326,0.6081418991088867,0.5454545617103577,0.19847463071346283,0.4000000059604645,1.0,7,0.5714285714285714,0.2857142857142857,38.575627
Gf4eEhDpxgk,32,1,1,2,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,4,4,0.2,0.2,0.20000000000000004,0.4035087823867798,0.4035087823867798,0.07017543911933899,0.3333333432674408,0.4736842215061188,2,0.0,0.0,24.788724
Gf4eEhDpxgk,157,1,1,3,1,3,0.75,0.5,0.6,1,3,3,0.25,0.25,0.25,0.5659340620040894,0.5,0.1466803252696991,0.4285714328289032,0.7692307829856873,3,0.6666666666666666,0.3333333333333333,17.051106
Gf4eEhDpxgk,166,1,1,4,2,1,0.6666666666666666,0.8,0.7272727272727272,1,4,3,0.2,0.25,0.22222222222222224,0.5934902429580688,0.6036471724510193,0.14059269428253174,0.4166666567325592,0.75,4,0.5,0.25,24.401166
I9nR5rDP7nQ,18,1,1,5,3,4,0.625,0.5555555555555556,0.5882352941176471,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5945454239845276,0.75,0.21229560673236847,0.30909091234207153,0.800000011920929,5,0.6,0.6,31.674805
I9nR5rDP7nQ,72,1,1,1,1,2,0.5,0.3333333333333333,0.4,0,2,2,0.0,0.0,0.0,0.5510203838348389,0.5510203838348389,0.0,0.5510203838348389,0.5510203838348389,1,1.0,0.0,8.620755
I9nR5rDP7nQ,203,1,1,5,11,9,0.3125,0.35714285714285715,0.3333333333333333,0,14,11,0.0,0.0,0.0,0.5704789757728577,0.574999988079071,0.19691592454910278,0.3333333432674408,0.8888888955116272,5,0.6,0.2,64.629324
I9nR5rDP7nQ,244,1,1,2,2,0,0.5,1.0,0.6666666666666666,0,3,1,0.0,0.0,0.0,0.658730149269104,0.658730149269104,0.230158731341362,0.4285714328289032,0.8888888955116272,2,0.5,0.5,15.849226
JzU12Qf5FPg,126,1,1,6,7,6,0.46153846153846156,0.5,0.48000000000000004,0,9,14,0.0,0.0,0.0,0.43215814232826233,0.379807710647583,0.11878328770399094,0.3333333432674408,0.6666666865348816,6,0.3333333333333333,0.0,50.280319
JzU12Qf5FPg,436,1,1,6,3,2,0.6666666666666666,0.75,0.7058823529411765,1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.5817018151283264,0.5919708013534546,0.05154421553015709,0.48275861144065857,0.6399999856948853,6,0.8333333333333334,0.0,33.488478
JzU12Qf5FPg,484,1,1,7,7,2,0.5,0.7777777777777778,0.6086956521739131,1,9,6,0.1,0.14285714285714285,0.11764705882352941,0.5427309274673462,0.625,0.17997170984745026,0.30000001192092896,0.7758620977401733,7,0.5714285714285714,0.14285714285714285,53.789217
