video_id,frame_no,parsed_json,schema_conformant,node_tp,node_fp,node_fn,node_precision,node_recall,node_f1,edge_tp,edge_fp,edge_fn,edge_precision,edge_recall,edge_f1,box_mean_iou,box_median_iou,box_std_iou,box_min_iou,box_max_iou,box_match_count,box_iou@0.5_coverage,box_iou@0.75_coverage,gen_wall_time_s
0JVmVXLrNZo,23,1,1,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444,0,2,4,0.0,0.0,0.0,0.516339898109436,0.516339898109436,0.07189543545246124,0.4444444477558136,0.5882353186607361,2,0.5,0.0,24.248515
0JVmVXLrNZo,62,1,1,3,0,1,1.0,0.75,0.8571428571428571,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.7218562960624695,0.808080792427063,0.26929715275764465,0.35748791694641113,1.0,3,0.6666666666666666,0.6666666666666666,25.941557
0JVmVXLrNZo,64,1,1,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,3,5,0.0,0.0,0.0,0.4545454680919647,0.4545454680919647,0.0,0.4545454680919647,0.4545454680919647,1,0.0,0.0,26.794336
0JVmVXLrNZo,150,1,1,2,1,0,0.6666666666666666,1.0,0.8,1,1,0,0.5,1.0,0.6666666666666666,0.735714316368103,0.735714316368103,0.16428568959236145,0.5714285969734192,0.8999999761581421,2,1.0,0.5,24.760428
1mB0G1AwUPg,99,1,1,5,5,3,0.5,0.625,0.5555555555555556,0,9,5,0.0,0.0,0.0,0.6401785612106323,0.65625,0.16371320188045502,0.4166666567325592,0.8571428656578064,5,0.8,0.4,78.57397
1mB0G1AwUPg,279,1,1,7,0,3,1.0,0.7,0.8235294117647058,1,5,7,0.16666666666666666,0.125,0.14285714285714288,0.6310325860977173,0.7142857313156128,0.2016085833311081,0.36000001430511475,0.875,7,0.5714285714285714,0.42857142857142855,58.100775
1mB0G1AwUPg,290,1,1,6,6,4,0.5,0.6,0.5454545454545454,0,9,11,0.0,0.0,0.0,0.6553179621696472,0.7124060392379761,0.17202520370483398,0.3651452362537384,0.8456659913063049,6,0.6666666666666666,0.3333333333333333,96.02214
1mB0G1AwUPg,304,1,1,6,2,6,0.75,0.5,0.6,1,6,7,0.14285714285714285,0.125,0.13333333333333333,0.5668537020683289,0.4969135820865631,0.15484553575515747,0.40123456716537476,0.8215329051017761,6,0.5,0.16666666666666666,69.235966
3rtzSsuJ4Ng,5,1,1,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667,2,3,4,0.4,0.3333333333333333,0.3636363636363636,0.5218333005905151,0.5699999928474426,0.15865753591060638,0.30434781312942505,0.7615112066268921,5,0.6,0.2,47.817197
3rtzSsuJ4Ng,19,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.464413
3rtzSsuJ4Ng,143,1,1,4,6,7,0.4,0.36363636363636365,0.380952380952381,2,6,7,0.25,0.2222222222222222,0.23529411764705882,0.5462751388549805,0.5220956802368164,0.17310328781604767,0.34090909361839294,0.800000011920929,4,0.5,0.25,79.555565
